8,1066,147,1256,273,car, 
9,684,85,851,182,car, 
10,689,189,874,297,car, 
11,1061,73,1227,166,car, 
12,431,162,635,273,car, 
13,117,244,352,371,car, 
14,901,129,1048,228,car, 
15,884,35,1033,120,car, 
16,1346,94,1381,156,car, 
17,1239,17,1380,103,car, 
18,301,675,608,798,car, 
19,8,501,285,660,motorcycle, 
20,0,680,174,799,car, 
21,23,498,297,656,car, 
22,0,348,24,424,car, 
23,1070,145,1258,270,car, 
0,803,481,1034,637,car, 
1,456,454,738,639,car, 
2,1100,368,1325,508,car, 
3,923,317,1121,438,car, 
4,126,359,368,490,car, 
5,686,282,883,404,car, 
6,417,269,624,399,car, 
7,1260,192,1381,306,car, 
8,1074,141,1264,268,car, 
9,684,85,851,183,car, 
10,689,189,873,298,car, 
11,1061,72,1226,166,car, 
12,431,161,636,273,car, 
13,117,244,351,372,car, 
14,901,129,1048,228,car, 
15,884,34,1033,120,car, 
